poblacion,provincia,edad,genero,grupo_edad,vivienda,horario_laboral,experiencia_animales,tiempo_disponible,tipo_animal,devuelto,perfil_adoptante,apto,lat,lon,the_geom,display_name,geocode_resolution
Fuenlabrada,madrid,33,Mujer,25–34,Casa/Chalet,Jornada Completa,Media,2–5h,gato,no,Adulto experimentado,Sí,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Valdemorillo,madrid,27,Hombre,25–34,Piso,Jornada Parcial (Manana),Baja,2–5h,perro,no,Joven urbano,Sí,40.5016772,-4.0688878,POINT(-4.0688878 40.5016772),"Valdemorillo, Comunidad de Madrid, España",locality
Toledo,toledo,49,Mujer,45–54,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,31,Hombre,25–34,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,29,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Majadahonda,madrid,37,Mujer,35–44,Piso,Jornada Completa,Alta,>5h,perro,no,Adulto experimentado,Sí,40.4728425,-3.8723542,POINT(-3.8723542 40.4728425),"Majadahonda, Comunidad de Madrid, España",locality
Madrid,madrid,27,Hombre,25–34,Piso,Jornada Completa,Media,>5h,gato,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Navas De Buitrago,madrid,18,Mujer,18–24,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.9358555,-3.598195,POINT(-3.598195 40.9358555),"Navas de Buitrago, Las Navas de Buitrago, Lozoyuela-Navas-Sieteiglesias, Comunidad de Madrid, 28752, España",locality
Toledo,toledo,44,Mujer,35–44,Piso,Turno Rotativo,Baja,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Toledo,toledo,51,Mujer,45–54,Casa/Chalet,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Torrejon De Velasco,madrid,43,Mujer,35–44,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.1869283,-3.7769069,POINT(-3.7769069 40.1869283),"Torrejón de Velasco, Comunidad de Madrid, 28990, España",locality
Torrejon De Velasco,madrid,36,Hombre,35–44,Casa/Chalet,Jornada Parcial (Manana),Baja,>5h,perro,no,Adulto experimentado,Sí,40.1869283,-3.7769069,POINT(-3.7769069 40.1869283),"Torrejón de Velasco, Comunidad de Madrid, 28990, España",locality
Galapagar,madrid,48,Mujer,45–54,Piso,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.5774992,-4.0037748,POINT(-4.0037748 40.5774992),"Galapagar, Comunidad de Madrid, España",locality
Getafe,madrid,24,Hombre,18–24,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Valencia,valencia,60,Hombre,55–64,Casa/Chalet,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,39.4697065,-0.3763353,POINT(-0.3763353 39.4697065),"Valencia, Comarca de Valencia, Valencia, Comunidad Valenciana, España",locality
Casarrubuelos,madrid,48,Hombre,45–54,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.1707803,-3.8308526,POINT(-3.8308526 40.1707803),"Casarrubuelos, Comunidad de Madrid, 28977, España",locality
Aranjuez,madrid,40,Mujer,35–44,Piso,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.03221,-3.6039604,POINT(-3.6039604 40.03221),"Aranjuez, Comunidad de Madrid, 28300, España",locality
Leganes,madrid,27,Mujer,25–34,Atico,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,40.3281942,-3.76527,POINT(-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España",locality
San Ildefonso,segovia,44,Mujer,35–44,Piso,Sin Empleo,Media,>5h,perro,no,Adulto experimentado,Sí,40.8981268,-4.0054013,POINT(-4.0054013 40.8981268),"La Granja, Real Sitio de San Ildefonso, Segovia, Castilla y León, 40100, España",locality
Palma,baleares,28,Hombre,25–34,Atico,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,39.5812525,2.7092683,POINT(2.7092683 39.5812525),"Palma, Islas Baleares, España",locality
Madrid,madrid,54,Mujer,45–54,Piso,Jornada Parcial (Tarde),Baja,<1–2h,perro,no,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Fuenlabrada,madrid,22,Hombre,18–24,Piso,Jornada Parcial (Manana),Media,2–5h,perro,no,Joven urbano,Sí,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Parla,madrid,31,Mujer,25–34,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
Anover De Tajo,toledo,55,Mujer,55–64,Atico,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,39.9877375,-3.7660548,POINT(-3.7660548 39.9877375),"Añover de Tajo, Toledo, Castilla-La Mancha, 45250, España",locality
Madrid,madrid,35,Hombre,35–44,Piso,Jornada Parcial (Tarde),Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Valdemorillo,madrid,39,Hombre,35–44,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.5016772,-4.0688878,POINT(-4.0688878 40.5016772),"Valdemorillo, Comunidad de Madrid, España",locality
Torrejon Del Rey,madrid,19,Hombre,18–24,Piso,Jornada Completa,Alta,>5h,perro,no,Joven urbano,Sí,40.4926024,-3.3786466,POINT(-3.3786466 40.4926024),"Calle Torrejón del Rey, Consejo de barrio 8. Distrito III, El Chorrillo, Distrito III, Alcalá de Henares, Comunidad de Madrid, 28806, España",locality
Getafe,madrid,46,Mujer,45–54,Piso,Turno Rotativo,Alta,>5h,perro,no,Adulto experimentado,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Borgloon,bélgica,24,Mujer,18–24,Piso,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,39.8808842,-4.0336128,POINT(-4.0336128 39.8808842),nan,province
Toledo,toledo,32,Mujer,25–34,Piso,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Algeciras,cadiz,19,Hombre,18–24,Piso,Jornada Parcial (Tarde),Baja,<1–2h,perro,no,No apto,No,36.1311725,-5.4473991,POINT(-5.4473991 36.1311725),"Algeciras, Campo de Gibraltar, Cádiz, Andalucía, España",locality
Majadahonda,madrid,47,Hombre,45–54,Piso,Jornada Parcial (Manana),Media,2–5h,perro,si,No apto,No,40.4728425,-3.8723542,POINT(-3.8723542 40.4728425),"Majadahonda, Comunidad de Madrid, España",locality
Ventas De Retamosa,toledo,22,Hombre,18–24,Piso,Jornada Completa,Baja,2–5h,perro,no,Joven urbano,Sí,40.1549585,-4.1142313,POINT(-4.1142313 40.1549585),"Las Ventas de Retamosa, Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,32,Hombre,25–34,Casa/Chalet,Jornada Parcial (Manana),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Mora,toledo,46,Hombre,45–54,Piso,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,39.683223,-3.7727849,POINT(-3.7727849 39.683223),"Mora, Toledo, Castilla-La Mancha, 45400, España",locality
Sabadell,barcelona,54,Hombre,45–54,Casa/Chalet,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,41.5421013,2.1138977,POINT(2.1138977 41.5421013),"Sabadell, Vallés Occidental, Barcelona, Cataluña, España",locality
Toledo,toledo,28,Mujer,25–34,Vivienda compartida,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,43,Hombre,35–44,Piso,Jornada Completa,Baja,2–5h,perro,si,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Pinto,madrid,31,Mujer,25–34,Atico,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.240985,-3.7005072,POINT(-3.7005072 40.240985),"Pinto, Comunidad de Madrid, 28320, España",locality
Plasencia,caceres,43,Hombre,35–44,Casa/Chalet,Jornada Parcial (Manana),Media,<1–2h,perro,no,Adulto experimentado,Sí,40.029921,-6.090168,POINT(-6.090168 40.029921),"Plasencia, Cáceres, Extremadura, España",locality
Torrejon De Ardoz,madrid,20,Hombre,18–24,Piso,Jornada Completa,Baja,2–5h,perro,no,Joven urbano,Sí,40.4587767,-3.4793343,POINT(-3.4793343 40.4587767),"Torrejón de Ardoz, Comunidad de Madrid, España",locality
Yuncos,toledo,42,Mujer,35–44,Piso,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,40.0871868,-3.8735226,POINT(-3.8735226 40.0871868),"Yuncos, Toledo, Castilla-La Mancha, 45210, España",locality
Mentrida,toledo,44,Hombre,35–44,Piso,Jornada Completa,Alta,>5h,perro,no,Adulto experimentado,Sí,40.2379032,-4.1945535,POINT(-4.1945535 40.2379032),"Méntrida, Toledo, Castilla-La Mancha, España",locality
Toledo,toledo,22,Hombre,18–24,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Olias Del Rey,toledo,52,Hombre,45–54,Piso,Jornada Completa,Alta,2–5h,perro,si,No apto,No,39.9447357,-3.9872516,POINT(-3.9872516 39.9447357),"Olías del Rey, Toledo, Castilla-La Mancha, 45280, España",locality
Villaviciosa De Odon,madrid,37,Mujer,35–44,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.3573787,-3.9002334,POINT(-3.9002334 40.3573787),"Villaviciosa de Odón, Comunidad de Madrid, 28670, España",locality
Mostoles,madrid,41,Mujer,35–44,Piso,Sin Empleo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3238525,-3.8649214,POINT(-3.8649214 40.3238525),"Móstoles, Comunidad de Madrid, España",locality
Getafe,madrid,18,Mujer,18–24,Piso,Jornada Parcial (Manana),Media,2–5h,perro,no,Joven urbano,Sí,40.3070639,-3.7331808,POINT(-3.7331808 40.3070639),"Getafe, Comunidad de Madrid, España",locality
Queluz - Lisboa,portugal,30,Mujer,25–34,Piso,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,37.2140437,-7.4104422,POINT(-7.4104422 37.2140437),nan,province
Cobena,madrid,58,Mujer,55–64,Atico,Sin Empleo,Baja,2–5h,perro,si,No apto,No,40.5676083,-3.5048565,POINT(-3.5048565 40.5676083),"Cobeña, Comunidad de Madrid, 28863, España",locality
Toledo,toledo,58,Hombre,55–64,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,40,Mujer,35–44,Piso,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Cobena,madrid,35,Mujer,35–44,Piso,Turno Rotativo,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.5676083,-3.5048565,POINT(-3.5048565 40.5676083),"Cobeña, Comunidad de Madrid, 28863, España",locality
Madrid,madrid,49,Hombre,45–54,Piso,Sin Empleo,Baja,<1–2h,perro,no,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Nambroca,toledo,44,Mujer,35–44,Vivienda compartida,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,39.7978442,-3.9444599,POINT(-3.9444599 39.7978442),"Nambroca, Toledo, Castilla-La Mancha, España",locality
Venturada,madrid,24,Hombre,18–24,Piso,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,40.7985257,-3.6207369,POINT(-3.6207369 40.7985257),"Venturada, Comunidad de Madrid, España",locality
Madrid,madrid,38,Hombre,35–44,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Mostoles,madrid,25,Mujer,25–34,Piso,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,40.3238525,-3.8649214,POINT(-3.8649214 40.3238525),"Móstoles, Comunidad de Madrid, España",locality
Madrid,madrid,27,Mujer,25–34,Piso,Jornada Completa,Media,>5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,54,Mujer,45–54,Piso,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,55,Mujer,55–64,Piso,Turno Rotativo,Baja,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,53,Mujer,45–54,Piso,Jornada Completa,Alta,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Valencia,valencia,45,Hombre,45–54,Piso,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.4697065,-0.3763353,POINT(-0.3763353 39.4697065),"Valencia, Comarca de Valencia, Valencia, Comunidad Valenciana, España",locality
Collado Villalba,madrid,28,Mujer,25–34,Piso,Sin Empleo,Media,2–5h,gato,no,Joven urbano,Sí,40.6483467,-3.9819765,POINT(-3.9819765 40.6483467),"Collado Villalba, Comunidad de Madrid, 28400, España",locality
Velilla De San Antonio,madrid,42,Mujer,35–44,Casa/Chalet,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.367166,-3.4874435,POINT(-3.4874435 40.367166),"Velilla de San Antonio, Comunidad de Madrid, 28891, España",locality
Alcorcon,madrid,29,Mujer,25–34,Piso,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Joven urbano,Sí,40.3492998,-3.8284295,POINT(-3.8284295 40.3492998),"Alcorcón, Comunidad de Madrid, España",locality
Madrid,madrid,56,Mujer,55–64,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Parla,madrid,41,Mujer,35–44,Piso,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
Caceres,extremadura,45,Mujer,45–54,Piso,Jornada Completa,Alta,>5h,perro,no,Adulto experimentado,Sí,39.4020024,-6.4545805,POINT(-6.4545805 39.4020024),"Cáceres, Extremadura, España",locality
Toledo,toledo,57,Hombre,55–64,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,39.8560679,-4.0239568,POINT(-4.0239568 39.8560679),"Toledo, Castilla-La Mancha, España",locality
Valdemoro,madrid,37,Mujer,35–44,Piso,Jornada Parcial (Tarde),Baja,2–5h,perro,no,Adulto experimentado,Sí,40.1888604,-3.67143,POINT(-3.67143 40.1888604),"Valdemoro, Comunidad de Madrid, España",locality
Illescas,toledo,58,Mujer,55–64,Casa/Chalet,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,40.1248436,-3.8492688,POINT(-3.8492688 40.1248436),"Illescas, Toledo, Castilla-La Mancha, 45200, España",locality
Illescas,toledo,48,Hombre,45–54,Casa/Chalet,Jornada Parcial (Tarde),Media,2–5h,perro,si,No apto,No,40.1248436,-3.8492688,POINT(-3.8492688 40.1248436),"Illescas, Toledo, Castilla-La Mancha, 45200, España",locality
Horcajo De Santiago,cuenca,39,Mujer,35–44,Piso,Turno Rotativo,Alta,2–5h,perro,no,Adulto experimentado,Sí,39.9295815,-3.1118101,POINT(-3.1118101 39.9295815),"Camino de Santa Cruz de la Zarza a Horcajo de Santiago, Santa Cruz de la Zarza, Toledo, Castilla-La Mancha, España",locality
Villa Del Prado,madrid,55,Mujer,55–64,Casa/Chalet,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.2764752,-4.3048032,POINT(-4.3048032 40.2764752),"Villa del Prado, Comunidad de Madrid, 28630, España",locality
Parla,madrid,47,Hombre,45–54,Piso,Jornada Completa,Baja,>5h,perro,no,Adulto experimentado,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
Villaluenga De La Sagra,toledo,29,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.0271087,-3.9115161,POINT(-3.9115161 40.0271087),"Villaluenga de la Sagra, Toledo, Castilla-La Mancha, 45520, España",locality
Somosaguas - Pozuelo,madrid,18,Mujer,18–24,Casa/Chalet,Sin Empleo,Media,<1–2h,perro,no,Adulto experimentado,Sí,40.4211318,-3.7859272,POINT(-3.7859272 40.4211318),"Somosaguas, Húmera, Pozuelo de Alarcón, Comunidad de Madrid, España",locality
Cobisa,toledo,42,Hombre,35–44,Atico,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,39.8044211,-4.0247277,POINT(-4.0247277 39.8044211),"Cobisa, Toledo, Castilla-La Mancha, 45111, España",locality
Ugena,toledo,46,Mujer,45–54,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,si,No apto,No,40.1574161,-3.8766994,POINT(-3.8766994 40.1574161),"Ugena, Toledo, Castilla-La Mancha, 45217, España",locality
Nambroca,toledo,41,Mujer,35–44,Piso,Jornada Parcial (Manana),Alta,2–5h,perro,no,Adulto experimentado,Sí,39.7978442,-3.9444599,POINT(-3.9444599 39.7978442),"Nambroca, Toledo, Castilla-La Mancha, España",locality
Leganes,madrid,47,Hombre,45–54,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3281942,-3.76527,POINT(-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España",locality
Sesena,toledo,24,Hombre,18–24,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,40.1048269,-3.6963093,POINT(-3.6963093 40.1048269),"Seseña, Toledo, Castilla-La Mancha, España",locality
Madrid,madrid,40,Mujer,35–44,Casa/Chalet,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,21,Hombre,18–24,Casa/Chalet,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,60,Hombre,55–64,Piso,Jornada Completa,Baja,<1–2h,perro,no,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Valdemoro,madrid,27,Hombre,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.1888604,-3.67143,POINT(-3.67143 40.1888604),"Valdemoro, Comunidad de Madrid, España",locality
Torrejon De Ardoz,madrid,29,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4587767,-3.4793343,POINT(-3.4793343 40.4587767),"Torrejón de Ardoz, Comunidad de Madrid, España",locality
Valdemoro,madrid,34,Hombre,25–34,Atico,Jornada Completa,Media,2–5h,perro,si,No apto,No,40.1888604,-3.67143,POINT(-3.67143 40.1888604),"Valdemoro, Comunidad de Madrid, España",locality
Navarredonda De Gredos,avila,46,Mujer,45–54,Piso,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3619081,-5.1330863,POINT(-5.1330863 40.3619081),"Navarredonda de Gredos, Ávila, Castilla y León, España",locality
Alcobendas,madrid,33,Mujer,25–34,Casa/Chalet,Turno Rotativo,Media,2–5h,perro,no,Adulto experimentado,Sí,40.5400082,-3.6358494,POINT(-3.6358494 40.5400082),"Alcobendas, Comunidad de Madrid, España",locality
Boadilla Del Monte,madrid,20,Hombre,18–24,Piso,Sin Empleo,Alta,<1–2h,perro,no,Adulto experimentado,Sí,40.4053485,-3.8764663,POINT(-3.8764663 40.4053485),"Boadilla del Monte, Comunidad de Madrid, España",locality
Madrid,madrid,28,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Madrid,madrid,41,Hombre,35–44,Casa/Chalet,Jornada Completa,Baja,<1–2h,perro,si,No apto,No,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Fuenlabrada,madrid,26,Mujer,25–34,Piso,Jornada Completa,Media,>5h,perro,si,No apto,No,40.282476,-3.7923422,POINT(-3.7923422 40.282476),"Fuenlabrada, Comunidad de Madrid, España",locality
Leganes,madrid,32,Mujer,25–34,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.3281942,-3.76527,POINT(-3.76527 40.3281942),"Leganés, Comunidad de Madrid, España",locality
Blaco,soria,19,Hombre,18–24,Piso,Sin Empleo,Media,2–5h,perro,no,Joven urbano,Sí,41.6012505,-2.721938,POINT(-2.721938 41.6012505),nan,province
Madrid,madrid,27,Hombre,25–34,Atico,Jornada Completa,Media,>5h,perro,no,Adulto experimentado,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Tres Cantos,madrid,36,Mujer,35–44,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,si,No apto,No,40.3995202,-3.5414834,POINT(-3.5414834 40.3995202),"Tres Cantos, El Cañaveral, Vicálvaro, Madrid, Comunidad de Madrid, 28822, España",locality
Yuncler,toledo,57,Hombre,55–64,Vivienda compartida,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.0440004,-3.9008053,POINT(-3.9008053 40.0440004),"Yuncler, Toledo, Castilla-La Mancha, 45529, España",locality
Parla,madrid,41,Hombre,35–44,Piso,Turno Rotativo,Alta,>5h,perro,no,Adulto experimentado,Sí,40.2373952,-3.7718902,POINT(-3.7718902 40.2373952),"Parla, Comunidad de Madrid, España",locality
El Viso De San Juan,toledo,24,Mujer,18–24,Piso,Jornada Parcial (Manana),Baja,2–5h,perro,no,Joven urbano,Sí,40.1437727,-3.9206116,POINT(-3.9206116 40.1437727),"El Viso de San Juan, Toledo, Castilla-La Mancha, 45215, España",locality
Madrid,madrid,29,Hombre,25–34,Piso,Jornada Completa,Alta,2–5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
Anover De Tajo,toledo,26,Mujer,25–34,Piso,Jornada Completa,Media,>5h,perro,no,Joven urbano,Sí,39.9877375,-3.7660548,POINT(-3.7660548 39.9877375),"Añover de Tajo, Toledo, Castilla-La Mancha, 45250, España",locality
Anover De Tajo,toledo,52,Hombre,45–54,Casa/Chalet,Jornada Completa,Baja,2–5h,perro,no,Adulto experimentado,Sí,39.9877375,-3.7660548,POINT(-3.7660548 39.9877375),"Añover de Tajo, Toledo, Castilla-La Mancha, 45250, España",locality
Leioa,vizcaya,21,Mujer,18–24,Piso,Jornada Completa,Media,2–5h,perro,no,Joven urbano,Sí,43.3271048,-2.9846079,POINT(-2.9846079 43.3271048),"Lejona, Vizcaya, País Vasco, 48940, España",locality
Blaco,soria,47,Hombre,45–54,Piso,Jornada Parcial (Tarde),Media,2–5h,perro,no,Adulto experimentado,Sí,41.6012505,-2.721938,POINT(-2.721938 41.6012505),nan,province
Navalcarnero,madrid,39,Hombre,35–44,Piso,Jornada Completa,Media,2–5h,perro,no,Adulto experimentado,Sí,40.2877169,-4.014299,POINT(-4.014299 40.2877169),"Navalcarnero, Comunidad de Madrid, 28600, España",locality
Madrid,madrid,26,Mujer,25–34,Piso,Jornada Completa,Alta,>5h,perro,no,Joven urbano,Sí,40.4237276,-3.6899043,POINT(-3.6899043 40.4237276),"Biblioteca Nacional de España, 20-22, Paseo de Recoletos, Recoletos, Salamanca, Madrid, Comunidad de Madrid, 28071, España",locality
